epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.351,1.24764,2.34983,1.19912,0.01671,0.79558,0.54351,0.36521,0.91932,2.68433,1.0006,0.00046,0.00046,0.00046
2,293.44,1.07205,1.50105,1.03867,0.82005,0.28954,0.44032,0.29058,1.26528,2.7335,1.23125,0.000921388,0.000921388,0.000921388
3,443.313,1.03004,1.30452,1.02076,0.54775,0.52486,0.47502,0.27763,1.18992,2.30912,1.18766,0.00136377,0.00136377,0.00136377
4,581.927,1.00539,1.23862,1.03168,0.68433,0.51657,0.59591,0.41299,1.11387,1.81011,1.17591,0.00178714,0.00178714,0.00178714
5,725.27,1.01597,1.14666,1.01504,0.60029,0.49369,0.51333,0.31715,1.30318,1.99353,1.27239,0.0018416,0.0018416,0.0018416
6,873.681,0.99485,1.08059,1.0143,0.64626,0.5663,0.5742,0.3868,1.07614,1.7414,1.18122,0.001802,0.001802,0.001802
7,1017.15,0.94576,1.0332,0.99349,0.86811,0.69092,0.78983,0.59365,0.95681,1.24419,1.06246,0.0017624,0.0017624,0.0017624
8,1159.2,0.91979,0.95236,0.98317,0.79333,0.75414,0.79658,0.58883,0.98912,1.18094,1.08918,0.0017228,0.0017228,0.0017228
9,1298.49,0.92005,0.92967,0.9875,0.81544,0.68785,0.78338,0.5845,0.949,1.07593,1.05396,0.0016832,0.0016832,0.0016832
10,1436.75,0.89239,0.8871,0.97425,0.73563,0.69951,0.73627,0.55806,0.92888,1.22699,1.12266,0.0016436,0.0016436,0.0016436
11,1574.88,0.89229,0.88875,0.97223,0.7528,0.70664,0.75313,0.50261,1.09948,1.22609,1.12598,0.001604,0.001604,0.001604
12,1715.59,0.88366,0.84448,0.9742,0.84259,0.7985,0.85905,0.64356,0.84502,0.89802,0.99872,0.0015644,0.0015644,0.0015644
13,1855.01,0.84541,0.7856,0.95488,0.84909,0.82374,0.87585,0.69999,0.73395,0.81666,0.96333,0.0015248,0.0015248,0.0015248
14,1993.44,0.81867,0.78913,0.95059,0.90729,0.77348,0.8558,0.6738,0.81169,0.86687,1.02819,0.0014852,0.0014852,0.0014852
15,2132.26,0.78872,0.7365,0.93924,0.86871,0.81768,0.87081,0.68748,0.76,0.84267,0.97516,0.0014456,0.0014456,0.0014456
16,2271.56,0.79109,0.72837,0.95042,0.86194,0.80387,0.86036,0.69245,0.72845,0.83109,0.98552,0.001406,0.001406,0.001406
17,2410.8,0.76935,0.73176,0.94516,0.85163,0.77901,0.85042,0.68132,0.74035,0.83584,0.98173,0.0013664,0.0013664,0.0013664
18,2550.49,0.75092,0.69704,0.93149,0.83095,0.83702,0.8786,0.71378,0.67963,0.74527,0.96034,0.0013268,0.0013268,0.0013268
